,brand,value
0,& Other Stories,62.81132075471698
1,(+) PEOPLE,83.28301886792453
2,032c,0.0
3,10 Crosby by Derek Lam,0.0
4,1017 ALYX 9SM,0.0
5,11 by Boris Bidjan Saberi,0.0
6,12 storeez,6.830188679245283
7,16 Arlington,10.11320754716981
8,2728,1.0188679245283019
9,3 juin,0.07547169811320754
10,3.1 Phillip Lim,0.0
11,360 Cashmere,0.0
12,3x1,2.8679245283018866
13,424,79.37735849056604
14,45RPM,36.716981132075475
15,5 Progress,1.679245283018868
16,7 For All Mankind,20.60377358490566
17,711,19.0
18,8 by Yoox,0.0
19,A Bathing Ape,80.71698113207547
20,A Better Feeling,10.547169811320755
21,A DAY'S MARCH,5.377358490566038
22,A-Cold-Wall,0.0
23,A. Testoni,0.0
24,A.A Spectrum,0.0
25,A.L.C,0.07547169811320754
26,A.L.C.,0.03773584905660377
27,A.S.98,0.8113207547169812
28,A.W.A.K.E.,0.0
29,AAPE by a Bathing Ape,0.0
30,AERONAUTICA MILITARE,49.905660377358494
31,AGR,66.05660377358491
32,ALBANO,65.16981132075472
33,ALDO,76.01886792452831
34,ALICE + OLIVIA,64.94339622641509
35,ALVIERO MARTINI,0.7358490566037735
36,ALYSI,0.018867924528301886
37,AMBUSH,15.11320754716981
38,AMERICAN EAGLE,29.735849056603772
39,AMINA MUADDI,1.8679245283018868
40,ANDRÉ,67.26415094339623
41,ANGELO MARANI,0.018867924528301886
42,ANIYE BY,0.05660377358490566
43,ANNE KLEIN,30.30188679245283
44,ANTICA SARTORIA,0.20754716981132076
45,ANTONY MORATO,13.433962264150944
46,APC,68.60377358490567
47,APL Athletic Propulsion Labs,0.0
48,APOSTROPHE,11.037735849056604
49,AQUA,76.9245283018868
50,ARC'TERYX,50.716981132075475
51,ARROW,81.09433962264151
52,AT.P.CO,0.0
53,ATOS LOMBARDINI,0.0
54,ATP Atelier,52.64150943396226
55,AUBADE,51.81132075471698
56,AVANT TOI,6.283018867924528
57,Acne Studios,58.15094339622642
58,Acne Studios x Fjällräven,0.0
59,Add,83.0
60,Ader Error,0.0
61,Adidas,79.66037735849056
62,Adidas & Rick owens,0.0
63,Adidas Originals x Alexander Wang,0.0
64,Adidas X Ivy Park,0.32075471698113206
65,Adidas x A Bathing Ape,0.3018867924528302
66,Adidas x Craig Green,0.0
67,Adidas x Gosha Rubchinskiy,0.0
68,Adidas x Missoni,0.0
69,Adidas x Pharrell Williams,3.018867924528302
70,Adidas x Raf Simons,0.0
71,Adidas x Wales Bonner,0.0
72,Adieu,3.7169811320754715
73,Adolfo Dominguez,2.811320754716981
74,Adrianna Papell,78.0
75,Adriano Goldschmied,0.660377358490566
76,Adrienne Landau,1.0
77,Aethera,0.0
78,Aeyde,1.849056603773585
79,Ag Adriano Goldschmied,0.0
80,Agent Provocateur,8.867924528301886
81,Agl,2.5660377358490565
82,Agnona,0.0
83,Agnès B.,0.0
84,Agolde,4.849056603773585
85,Ahluwalia,4.69811320754717
86,Aidan Mattox,6.339622641509434
87,Aigle,72.24528301886792
88,Aigner,76.09433962264151
89,Aime Leon Dore,54.18867924528302
90,Aje,54.24528301886792
91,Akris,24.056603773584907
92,Akris Punto,0.0
93,Alain Mikli,1.9811320754716981
94,Alanui,2.8679245283018866
95,Alaïa,74.52830188679245
96,Alberta Ferretti,1.0377358490566038
97,Alberto Biani,0.09433962264150944
98,Alberto Fasciani,0.0
99,Alberto Guardiani,1.5849056603773586
100,Albino,86.52830188679245
101,Alcott,77.13207547169812
102,Alden,10.358490566037736
